RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Coevorden;G0109;10383;Drenthe;P22;28201;16437;35;28;16374;2302;2637;2279;931;2286;724;1225;1099;593;472;548;114;15;;;;;;;;;;;;;;;830;;;;212;;;107;;
Cranendonck;G1706;10219;Noord-Brabant;P30;16108;8662;18;38;8606;1488;1479;1388;390;421;717;1032;588;;276;403;;14;;160;20;;73;;;;;;;;;97;;60;;;;;;;;
Cuijk;G1684;10023;Noord-Brabant;P30;19515;10390;31;37;10322;1359;1426;1663;873;821;714;625;1186;;345;315;;211;;556;14;;69;;;;;;;;;87;;58;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;21692;12633;43;32;12558;1794;1745;921;2140;1016;1200;760;585;578;717;495;134;384;;;;;;;;;;;89;;;;;;;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;21984;14335;33;27;14275;1626;1803;3682;1030;899;718;747;651;1807;319;532;446;15;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadiel;G1891;10650;Fryslân;P21;14905;8880;12;8;8860;1384;352;1878;360;709;185;685;374;1100;142;129;562;1;;;;837;;;;;;;;;;;;;;117;;45;;;;
De Bilt;G0310;10168;Utrecht;P26;32783;22199;66;45;22088;2245;4210;2006;3481;1683;2480;910;811;1145;1212;561;817;137;;;;;;;;;;;;;;;;;390;;;;;;;
De Fryske Marren;G1940;10022;Fryslân;P21;40308;24823;38;57;24728;3366;2779;4899;1706;2535;925;1335;935;998;628;556;454;22;;;;3100;;;;;;;;;;;;;;297;;193;;;;
De Ronde Venen;G0736;11379;Utrecht;P26;34075;21463;49;70;21344;3804;4213;3364;1887;1280;1709;1163;498;1017;750;1052;341;109;;;;;;;;;;;;;;;;;157;;;;;;;
De Wolden;G1690;10262;Drenthe;P22;19444;12472;26;24;12422;1620;2408;1898;869;1280;617;608;509;658;416;318;122;13;;;;;;;;;;;;;;;889;;;;156;;;41;;
Delft;G0503;10928;Zuid-Holland;P28;74191;43649;127;187;43335;5196;5884;2411;7333;4444;6888;2166;2146;1989;2179;1315;245;632;;;114;;;;;;243;101;;;;;;;;;;;49;;;
Delfzijl;G0010;10976;Groningen;P20;19733;9684;30;39;9615;1212;700;728;495;966;295;829;937;899;211;397;;126;;;;;;1194;;;;;;;626;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;44393;21599;84;68;21447;5280;2643;1773;1393;2054;907;2420;1174;1185;855;;;69;753;;289;;;;;629;;23;;;;;;;;;;;;;;
Deurne;G0762;10379;Noord-Brabant;P30;25495;13002;34;74;12894;1865;2093;2906;857;804;788;1031;1049;;335;603;;20;;230;21;;83;;;;;;;;;134;;75;;;;;;;;
Deventer;G0150;10899;Overijssel;P23;75808;43711;124;133;43454;4501;6115;3778;7009;6041;3957;2349;2838;1736;2237;1472;170;1251;;;;;;;;;;;;;;;;;;;;;;;;
Diemen;G0384;11039;Noord-Holland;P27;23381;11073;36;27;11010;1719;1338;467;2111;1214;1059;608;533;303;687;;;251;419;;155;;;;;90;;56;;;;;;;;;;;;;;
Dinkelland;G1774;10245;Overijssel;P23;20804;12821;40;30;12751;1706;1965;5003;701;738;462;938;459;103;199;417;47;13;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;9034;4998;17;9;4972;736;602;467;511;596;365;368;493;136;261;184;13;178;;;;;;;;;;;56;;;;;;;;;;6;;;
Doetinchem;G0222;10396;Gelderland;P25;45380;24290;60;68;24162;3240;3322;3662;2323;2473;1705;1646;2107;782;871;1053;373;273;;;;;;;;;;;309;;;;;;;;;;23;;;
Dongen;G0766;11412;Noord-Brabant;P30;20420;10266;14;46;10206;1418;1719;1408;697;848;919;654;949;;331;411;;124;;267;25;;215;;;;;;;;;171;;50;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;89488;46249;145;107;45997;7231;5860;3079;4506;3816;3334;3804;2645;3153;2295;2208;1811;1599;;;160;;;;;;287;120;;;;;;;;;;;89;;;
Drechterland;G0498;10642;Noord-Holland;P27;15050;9156;18;33;9105;1880;1773;1231;686;699;576;511;507;171;311;;;4;238;;222;;;;;276;;20;;;;;;;;;;;;;;
Drimmelen;G1719;10258;Noord-Brabant;P30;21609;11702;16;38;11648;2028;2181;1446;791;765;812;974;953;;411;584;;6;;329;29;;148;;;;;;;;;122;;69;;;;;;;;
Dronten;G0303;10210;Flevoland;P24;30488;18789;48;33;18708;3039;3164;2744;1568;1076;889;1291;1063;1842;561;746;347;160;;;;;;;;;;;;;;;;;;;;;54;;108;56
Druten;G0225;10068;Gelderland;P25;14718;7870;23;30;7817;1308;1333;945;588;635;554;652;728;112;255;465;20;134;;;;;;;;;;;88;;;;;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;20018;11268;28;20;11220;1947;1983;1287;1067;993;798;725;765;312;435;646;36;40;;;;;;;;;;;175;;;;;;;;;;11;;;
Echt-Susteren;G1711;10941;Limburg;P31;25668;14008;31;70;13907;1926;935;3129;1019;860;512;2238;836;109;433;434;;21;;;;;;;1455;;;;;;;;;;;;;;;;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;28284;18739;59;53;18627;7609;1796;2758;1214;859;610;1684;482;230;625;;;50;326;;165;;;;;208;;11;;;;;;;;;;;;;;
Ede;G0228;10743;Gelderland;P25;87475;55444;124;96;55224;7177;6222;5844;4623;2675;2960;2747;1643;8013;1812;1487;8481;942;;;;;;;;;;;504;;;;;;;;;;94;;;
Eemnes;G0317;10248;Utrecht;P26;7052;4624;6;10;4608;745;874;603;372;552;302;239;152;178;206;146;30;1;;;;;;;;;;;;;;;;;208;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;15195;8460;16;33;8411;930;1269;2194;557;459;677;536;627;;256;333;;5;;310;21;;92;;;;;;;;;95;;50;;;;;;;;
Eijsden-Margraten;G1903;11243;Limburg;P31;20528;12067;33;28;12006;1618;1312;3035;1281;700;758;973;610;114;546;362;;17;;;;;;;680;;;;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;164363;82473;272;302;81899;9765;11504;5986;10839;6808;9649;5327;7431;;4478;3547;;1895;;1124;331;;1469;;;;;;;;;618;;1128;;;;;;;;
Elburg;G0230;11113;Gelderland;P25;17569;11161;27;31;11103;1406;1054;1427;375;406;266;600;320;2674;209;273;2004;8;;;;;;;;;;;52;;;;;;;;;;29;;;
Emmen;G0114;11180;Drenthe;P22;85191;46138;136;89;45913;7866;3581;5088;2296;8228;1735;5431;3610;2008;1134;1977;191;234;;;;;;;;;;;;;;;1694;;;;366;;;474;;
Enkhuizen;G0388;10729;Noord-Holland;P27;14187;7835;20;27;7788;1364;1041;656;703;777;550;470;897;357;354;;;73;168;;221;;;;;143;;14;;;;;;;;;;;;;;
Enschede;G0153;10364;Overijssel;P23;119723;62786;240;221;62325;10233;7781;5168;7131;6436;4968;6012;4795;3285;2496;1983;336;1701;;;;;;;;;;;;;;;;;;;;;;;;
